code,name,filing_fee_usd,filing_form,first_year_annual_report_fee,annual_report_fee,annual_report_cadence,franchise_tax_year_one,franchise_tax_ongoing,processing_days_standard,processing_days_expedite,expedite_fee,publication_required,publication_est_cost,sos_url,last_verified_date
AK,Alaska,250,Articles of Organization (Form 08-484),0,100,biennial,0,0,0,0,0,false,,https://www.commerce.alaska.gov/web/cbpl/Corporations.aspx,2026-05-21
AL,Alabama,200,Certificate of Formation,50,50,annual,50,50,1,1,0,false,,https://www.sos.alabama.gov/business-services,2026-04-28
AR,Arkansas,45,Articles of Organization,0,150,annual,0,150,3,3,0,false,,https://www.sos.arkansas.gov/business-commercial-services-bcs/,2026-05-21
AZ,Arizona,50,Articles of Organization,0,0,none,0,0,14,5,35,true,80,https://azcc.gov/corporations/forms,2026-05-21
CA,California,70,Form LLC-1 (Articles of Organization),20,20,biennial,800,800,21,1,350,false,,https://www.sos.ca.gov/business-programs/business-entities/forms,2026-05-21
CO,Colorado,50,Articles of Organization (online only),25,25,annual,0,0,1,1,50,false,,https://www.coloradosos.gov/biz/,2026-05-21
CT,Connecticut,120,Certificate of Organization,80,80,annual,250,250,2,1,50,false,,https://business.ct.gov/,2026-05-21
DC,District of Columbia,99,Articles of Organization (Form DLC-1),300,300,biennial,0,0,5,1,100,false,,https://dlcp.dc.gov/page/corporations-division-fees-limited-liability-company,2026-04-28
DE,Delaware,90,Certificate of Formation,300,300,annual-franchise,0,0,14,1,100,false,,https://corp.delaware.gov/fee/,2026-05-21
FL,Florida,125,Articles of Organization (Sunbiz),138.75,138.75,annual,0,0,5,1,52.5,false,,https://dos.fl.gov/sunbiz/,2026-05-21
GA,Georgia,100,Articles of Organization (online),50,50,annual,0,0,7,2,100,false,,https://sos.ga.gov/corporations-division,2026-04-28
HI,Hawaii,51,Articles of Organization for Limited Liability Company (Form LLC-1),13.5,13.5,annual,0,0,3,1,25,false,,https://cca.hawaii.gov/breg/registration/dllc/,2026-05-22
IA,Iowa,50,Certificate of Organization,0,30,biennial,0,0,1,0,100,false,,https://sos.iowa.gov/,2026-05-15
ID,Idaho,100,Certificate of Organization,0,0,annual,0,0,20,1,40,false,,https://sosbiz.idaho.gov/,2026-05-22
IL,Illinois,150,Form LLC-5.5 (Articles of Organization),75,75,annual,0,0,10,1,100,false,,https://www.ilsos.gov/departments/business_services/llc.html,2026-05-15
IN,Indiana,95,Articles of Organization,0,32,biennial,0,0,1,1,0,false,,https://www.in.gov/sos/business/,2026-05-22
KS,Kansas,85,Articles of Organization,0,50,biennial,0,0,0,0,0,false,,https://www.sos.ks.gov/business/business.html,2026-05-22
KY,Kentucky,40,Articles of Organization,15,15,annual,175,175,1,1,0,false,,https://sos.ky.gov/bus/Pages/default.aspx,2026-05-22
LA,Louisiana,100,Articles of Organization,30,30,annual,0,0,3,1,30,false,,https://www.sos.la.gov/BusinessServices/Pages/default.aspx,2026-05-22
MA,Massachusetts,500,Certificate of Organization,500,500,annual,0,0,5,1,100,false,,https://www.sec.state.ma.us/cor/coridx.htm,2026-04-28
MD,Maryland,100,Articles of Organization,300,300,annual,0,0,20,7,50,false,,https://egov.maryland.gov/businessexpress,2026-05-23
ME,Maine,175,Certificate of Formation (Form MLLC-6),0,85,annual,0,0,35,1,50,false,,https://www.maine.gov/sos/cec/corp/index.html,2026-05-22
MI,Michigan,50,Articles of Organization (Form CSCL/CD-700),0,25,annual,0,0,10,1,50,false,,https://www.michigan.gov/lara,2026-05-23
MN,Minnesota,155,Articles of Organization,0,0,annual,0,0,2,2,0,false,,https://www.sos.state.mn.us/business-liens/start-a-business/,2026-05-23
MO,Missouri,50,Articles of Organization,0,0,none,0,0,1,1,0,false,,https://www.sos.mo.gov/business,2026-05-23
MS,Mississippi,50,Certificate of Formation,0,0,annual,0,0,1,1,0,false,,https://www.sos.ms.gov/business-services,2026-05-16
MT,Montana,35,Articles of Organization,0,0,annual,0,0,5,1,100,false,,https://biz.sosmt.gov/,2026-05-16
NC,North Carolina,125,Articles of Organization (Form L-01),202,202,annual,0,0,7,1,100,false,,https://www.sosnc.gov/divisions/business_registration,2026-05-24
ND,North Dakota,135,Articles of Organization,50,50,annual,0,0,5,5,0,false,,https://sos.nd.gov/business-services,2026-05-24
NE,Nebraska,100,Certificate of Organization,0,28,biennial,0,0,3,3,0,true,170,https://sos.nebraska.gov/business-services/business-services-division,2026-05-23
NH,New Hampshire,102,Form LLC-1 Certificate of Formation,0,102,annual,0,0,7,1,125,false,,https://quickstart.sos.nh.gov/online,2026-05-16
